key,source_zh,source_en,zh,en,review,source_count,sources
m_05ece329,测试镜像（拉取+构建探测）,Test image (pull + build probe),测试镜像（拉取+构建探测）,Test image (pull + build probe),false,2,src/views/AdminView.vue:2450 | src/views/AdminView.vue:427
m_06301325,选择并管理,Select and manage,选择并管理,Select and manage,false,2,src/views/AdminView.vue:2676 | src/views/AdminView.vue:663
m_065234bd,队伍大厅,Team Lobby,队伍大厅,Team Lobby,false,1,src/views/TeamsView.vue:18
m_0683f7b9,管理该账号,Manage this account,管理该账号,Manage this account,false,2,src/views/AdminView.vue:1987 | src/views/AdminView.vue:2521
m_070fdd67,包含数字,Contains digit,包含数字,Contains digit,false,1,src/views/LoginView.vue:194
m_074e39c3,配置题型、flag 策略和运行环境。,"Configure challenge type, flag strategy, and runtime.",配置题型、flag 策略和运行环境。,"Configure challenge type, flag strategy, and runtime.",false,1,src/views/AdminView.vue:342
m_0784b499,估算破解时间：{crackTime},Estimated crack time: {crackTime},估算破解时间：{crackTime},Estimated crack time: {crackTime},false,2,src/views/LoginView.vue:497 | src/views/LoginView.vue:500
m_0894367f,测试日志会实时显示（默认最长 300 秒），适合镜像拉取/构建较慢场景。,Live logs are streamed in real time (default timeout: 300s).,测试日志会实时显示（默认最长 300 秒），适合镜像拉取/构建较慢场景。,Live logs are streamed in real time (default timeout: 300s).,false,1,src/views/AdminView.vue:432
m_08abf5d1,加载排行榜失败,Failed to load scoreboard wall,加载排行榜失败,Failed to load scoreboard wall,false,1,src/views/ScoreboardWallView.vue:549
m_08c1db3c,加载实例失败,Failed to load instances,加载实例失败,Failed to load instances,false,2,src/views/AdminView.vue:2545 | src/views/AdminView.vue:4197
m_094bf85e,会话已清理。,Session cleared.,会话已清理。,Session cleared.,false,1,src/App.vue:336
m_0958cae5,执行过期回收,Execute expiration recycling,执行过期回收,Execute expiration recycling,false,2,src/views/AdminView.vue:1702 | src/views/AdminView.vue:2716
m_095bfdbe,{username} 已退出登录。,{username} signed out.,{username} 已退出登录。,{username} signed out.,false,1,src/App.vue:335
m_0a13e71b,浏览与筛选,Browse & filter,浏览与筛选,Browse & filter,false,1,src/views/AdminView.vue:197
m_0a144ea8,暂无审计记录。,There is no audit record yet.,暂无审计记录。,There is no audit record yet.,false,2,src/views/AdminView.vue:2318 | src/views/AdminView.vue:2708
m_0a313cc1,你已加入 {teamName},You joined {teamName}.,你已加入 {teamName},You joined {teamName}.,false,1,src/views/TeamsView.vue:877
m_0a70c7a5,队伍已解散,Team disbanded,队伍已解散,Team disbanded,false,1,src/views/TeamsView.vue:765
m_0a7adaf0,按标题、slug、状态筛选,"Filter by title, slug, status",按标题、slug、状态筛选,"Filter by title, slug, status",false,2,src/views/AdminView.vue:1079 | src/views/AdminView.vue:2423
m_0a7b00b8,首页主标题,Home Title,首页主标题,Home Title,false,1,src/views/SiteSettingsView.vue:26
m_0aaf6356,无法测试镜像,Cannot test image,无法测试镜像,Cannot test image,false,1,src/views/AdminView.vue:2658
m_0bb69211,运行概览,Runtime Overview,运行概览,Runtime Overview,false,2,src/views/AdminView.vue:1693 | src/views/AdminView.vue:2693
m_0bbf7363,报名状态已更新,Registration status updated,报名状态已更新,Registration status updated,false,1,src/views/AdminView.vue:5114
m_0be9d53f,全部,All,全部,All,false,2,src/views/AdminView.vue:1622 | src/views/ContestsView.vue:28
m_0c203026,· 运行中,· running,· 运行中,· running,false,2,src/views/AdminView.vue:1736 | src/views/AdminView.vue:2418
m_0c4ebfa3,未登录或会话过期,Not signed in or session expired,未登录或会话过期,Not signed in or session expired,false,2,src/views/AdminView.vue:2652 | src/views/AdminView.vue:3748
m_0cbac248,进入比赛空间,Open Contest Workspace,进入比赛空间,Open Contest Workspace,false,1,src/views/ContestsView.vue:141
m_0cbe80f6,运行中,Running,运行中,Running,false,2,src/views/AdminView.vue:2197 | src/views/AdminView.vue:2701
m_0cccf76f,移除挂载失败,Failed to remove binding,移除挂载失败,Failed to remove binding,false,2,src/views/AdminView.vue:2679 | src/views/AdminView.vue:5621
m_0ccfd26d,暂无队伍描述。,No team description.,暂无队伍描述。,No team description.,false,2,src/views/TeamsView.vue:56 | src/views/TeamsView.vue:95
m_0cfc5917,· 状态,· status,· 状态,· status,false,2,src/views/AdminView.vue:2419 | src/views/AdminView.vue:655
m_0d2900bf,镜像测试失败,Image test failed,镜像测试失败,Image test failed,false,2,src/views/AdminView.vue:2565 | src/views/AdminView.vue:4606
m_0d681512,公告内容,Announcement content,公告内容,Announcement content,false,1,src/views/AdminView.vue:2503
m_0dd20335,实例信息,Instance overview,实例信息,Instance overview,false,1,src/views/AdminView.vue:2164
m_0dea37b7,导出实时动图(WebM),Export realtime animation (WebM),导出实时动图(WebM),Export realtime animation (WebM),false,1,src/views/ContestDetailView.vue:312
m_0e4d50d2,账号入口,Account Access,账号入口,Account Access,false,1,src/views/LoginView.vue:79
m_0e8c3d5c,积分动态曲线,Score trend,积分动态曲线,Score trend,false,1,src/views/ContestDetailView.vue:1157
m_0f19e4a4,当前不满足参赛条件，请稍后重试。,Contest entry requirements are not met yet.,当前不满足参赛条件，请稍后重试。,Contest entry requirements are not met yet.,false,1,src/views/ContestsView.vue:385
m_0f39de54,更新时间,Update time,更新时间,Update time,false,4,src/views/AdminView.vue:1746 | src/views/AdminView.vue:2495 | src/views/AdminView.vue:878 | src/views/AdminView.vue:894
m_0f4b78e9,提交完成,Submitted,提交完成,Submitted,false,1,src/views/ContestDetailView.vue:1618
m_0f532178,收到的邀请,Received Invitations,收到的邀请,Received Invitations,false,1,src/views/TeamsView.vue:243
m_0f81a13e,compose 模板（可选，可由压缩包自动导入）,"compose template (optional, can be auto-imported from zip)",compose 模板（可选，可由压缩包自动导入）,"compose template (optional, can be auto-imported from zip)",false,1,src/views/AdminView.vue:462
m_0f88f239,导出折线图,Export chart,导出折线图,Export chart,false,1,src/views/ContestDetailView.vue:301
m_0fd3a167,版本/附件,Version/Attachment,版本/附件,Version/Attachment,false,2,src/views/AdminView.vue:2424 | src/views/AdminView.vue:682
m_0fe1fde8,加载登录历史失败,Failed to load login history,加载登录历史失败,Failed to load login history,false,1,src/views/ProfileView.vue:233
m_0fe38bc7,发布,Publish,发布,Publish,false,3,src/views/AdminView.vue:1575 | src/views/AdminView.vue:2475 | src/views/AdminView.vue:688
m_100e63c1,题目已销毁,Challenge deleted,题目已销毁,Challenge deleted,false,1,src/views/AdminView.vue:2646
m_10239abc,至少 {minUniqueChars} 个唯一字符,At least {minUniqueChars} unique chars,至少 {minUniqueChars} 个唯一字符,At least {minUniqueChars} unique chars,false,1,src/views/LoginView.vue:506
m_10524332,加载运行概览失败,Failed to load runtime overview,加载运行概览失败,Failed to load runtime overview,false,2,src/views/AdminView.vue:2552 | src/views/AdminView.vue:4268
m_1069461a,结束时间,end time,结束时间,end time,false,2,src/views/AdminView.vue:1058 | src/views/AdminView.vue:2560
m_111b0037,公告内容不完整,Announcement content incomplete,公告内容不完整,Announcement content incomplete,false,1,src/views/AdminView.vue:2504
m_11270e01,取消解散,Cancel disband,取消解散,Cancel disband,false,1,src/views/TeamsView.vue:101
m_1217532d,类别保存失败,Category save failed,类别保存失败,Category save failed,false,1,src/views/AdminView.vue:3800
m_12395a86,公告内容（Markdown）,Announcement Content (Markdown),公告内容（Markdown）,Announcement Content (Markdown),false,1,src/views/AdminView.vue:1398
m_12e4e87b,确认销毁比赛「{title}」？该操作将删除比赛、公告、挂载、提交与实例数据。,"Destroy contest ""{title}""? This will remove contest data, announcements, bindings, submissions, and instances.",确认销毁比赛「{title}」？该操作将删除比赛、公告、挂载、提交与实例数据。,"Destroy contest ""{title}""? This will remove contest data, announcements, bindings, submissions, and instances.",false,1,src/views/AdminView.vue:5203
m_1343acbf,复制比赛 ID,Copy Contest ID,复制比赛 ID,Copy Contest ID,false,1,src/views/ContestsView.vue:144
m_143d2784,选中队伍,Selected Team,选中队伍,Selected Team,false,1,src/views/TeamsView.vue:52
m_146407ea,编辑比赛配置,Edit match configuration,编辑比赛配置,Edit match configuration,false,2,src/views/AdminView.vue:1193 | src/views/AdminView.vue:2442
m_14c8a36e,撤回发布,Withdraw publication,撤回发布,Withdraw publication,false,2,src/views/AdminView.vue:1575 | src/views/AdminView.vue:2455
m_14e5b72a,未选择图片文件,未选择图片文件,未选择图片文件,未选择图片文件,true,1,src/views/AdminView.vue:1149
m_14ffd56c,题目模块,Challenges,题目模块,Challenges,false,1,src/views/AdminView.vue:30
m_153c6475,无弱口令模式,No weak/common pattern,无弱口令模式,No weak/common pattern,false,1,src/views/LoginView.vue:197
m_1544178e,提交正确,Accepted,提交正确,Accepted,false,1,src/views/ContestDetailView.vue:1614
m_15522831,挂载已移除,Binding removed,挂载已移除,Binding removed,false,1,src/views/AdminView.vue:2519
m_159a8f4e,加载中...,Loading...,加载中...,Loading...,false,2,src/views/ProfileView.vue:59 | src/views/TeamsView.vue:20
m_159eb477,实时变化动图已导出。,Realtime animated chart exported.,实时变化动图已导出。,Realtime animated chart exported.,false,1,src/views/ContestDetailView.vue:1340
m_15cd57fe,置顶,Pinned,置顶,Pinned,false,2,src/views/ContestDetailView.vue:393 | src/views/ContestDetailView.vue:437
m_15f93c38,再次点击执行不可恢复的解散操作：,Click again to run irreversible disband action:,再次点击执行不可恢复的解散操作：,Click again to run irreversible disband action:,false,1,src/views/TeamsView.vue:104
m_164a2da6,操作人,Actor,操作人,Actor,false,2,src/views/AdminView.vue:2300 | src/views/AdminView.vue:2448
m_165b1edb,公告已保存。,Announcement saved.,公告已保存。,Announcement saved.,false,1,src/views/AdminView.vue:2506
m_165c42c1,题目状态已更新,Challenge status updated,题目状态已更新,Challenge status updated,false,1,src/views/AdminView.vue:2647
m_16e77afe,用户名或邮箱,Username or email,用户名或邮箱,Username or email,false,4,src/views/AdminView.vue:1926 | src/views/AdminView.vue:2689 | src/views/LoginView.vue:118 | src/views/LoginView.vue:125
m_1735ab18,请选择一个题目进入解题流程。,Select a challenge to continue.,请选择一个题目进入解题流程。,Select a challenge to continue.,false,1,src/views/ContestDetailView.vue:284
m_17f3b97d,比赛总览,Contest Overview,比赛总览,Contest Overview,false,1,src/views/ContestsView.vue:6
m_17f53274,登录,Sign In,登录,Sign In,false,4,src/App.vue:68 | src/views/LoginView.vue:227 | src/views/LoginView.vue:80 | src/views/LoginView.vue:90
m_1800eeda,服务状态,Service status,服务状态,Service status,false,2,src/views/AdminView.vue:2195 | src/views/AdminView.vue:2483
m_183042c1,暂无实例记录。,There is no instance record yet.,暂无实例记录。,There is no instance record yet.,false,2,src/views/AdminView.vue:2145 | src/views/AdminView.vue:2710
m_183a4087,确认告警,Confirm alarm,确认告警,Confirm alarm,false,2,src/views/AdminView.vue:1887 | src/views/AdminView.vue:2600
m_18833119,移除成员失败,Failed to remove member,移除成员失败,Failed to remove member,false,2,src/views/TeamsView.vue:939 | src/views/TeamsView.vue:941
m_18a099b4,账户入口,Account Entry,账户入口,Account Entry,false,1,src/views/LoginView.vue:9
m_18a929df,暂无题目描述。,No challenge description.,暂无题目描述。,No challenge description.,false,1,src/views/ContestDetailView.vue:72
m_195ce0b6,加载榜单失败,Failed to load scoreboard,加载榜单失败,Failed to load scoreboard,false,1,src/views/ContestDetailView.vue:1520
m_19673bf9,比赛,Contest,比赛,Contest,false,1,src/views/AdminView.vue:2165
m_19a7f679,报名审核,Registrations,报名审核,Registrations,false,1,src/views/AdminView.vue:126
m_19f43844,复制 SSH 密码,Copy SSH password,复制 SSH 密码,Copy SSH password,false,1,src/views/ContestDetailView.vue:249
m_1b59043c,报名需管理员审批,Registration requires admin approval,报名需管理员审批,Registration requires admin approval,false,1,src/views/AdminView.vue:1051
m_1b6d1043,复制失败,Copy failed,复制失败,Copy failed,false,3,src/views/ContestDetailView.vue:1370 | src/views/ContestsView.vue:308 | src/views/TeamsView.vue:548
m_1c6b959e,从左侧选择一个挂载题目查看详情。,Select a bound challenge on the left to view details.,从左侧选择一个挂载题目查看详情。,Select a bound challenge on the left to view details.,false,2,src/views/AdminView.vue:1338 | src/views/AdminView.vue:2469
m_1cd15757,未发布,Unpublished,未发布,Unpublished,false,3,src/views/AdminView.vue:1465 | src/views/AdminView.vue:1480 | src/views/AdminView.vue:2654
m_1d01abee,状态过滤,Status filtering,状态过滤,Status filtering,false,2,src/views/AdminView.vue:2074 | src/views/AdminView.vue:2728
m_1d1af2d7,角色已更新,Role updated,角色已更新,Role updated,false,1,src/views/AdminView.vue:2558
m_1d53b967,加载题目详情失败,Failed to load challenge details,加载题目详情失败,Failed to load challenge details,false,2,src/views/AdminView.vue:2550 | src/views/AdminView.vue:4508
m_1d946633,判题与部署,Validation & Runtime,判题与部署,Validation & Runtime,false,1,src/views/AdminView.vue:341
m_1d9bd946,重置密码,reset password,重置密码,reset password,false,2,src/views/AdminView.vue:2046 | src/views/AdminView.vue:2724
m_1daed537,wireguard：下发 VPN 配置，选手可从本机直接访问队伍子网。,wireguard: issue VPN config so teams can access their subnet from local machine.,wireguard：下发 VPN 配置，选手可从本机直接访问队伍子网。,wireguard: issue VPN config so teams can access their subnet from local machine.,false,1,src/views/AdminView.vue:3352
m_1ef6cbe6,登录成功，正在跳转...,"Signed in, redirecting...",登录成功，正在跳转...,"Signed in, redirecting...",false,1,src/views/LoginView.vue:770
m_1f1aec54,标题或 slug,title or slug,标题或 slug,title or slug,false,2,src/views/AdminView.vue:2446 | src/views/AdminView.vue:841
m_1f1dad1a,用户名和邮箱已保存。,Username and email saved.,用户名和邮箱已保存。,Username and email saved.,false,1,src/views/ProfileView.vue:186
m_1f416534,开始时间,start time,开始时间,start time,false,2,src/views/AdminView.vue:1054 | src/views/AdminView.vue:2568
m_1f98a5ec,进入登录,Sign In,进入登录,Sign In,false,1,src/views/HomeView.vue:47
m_1fa71d9f,single_image（单镜像）,single_image (single image),single_image（单镜像）,single_image (single image),false,2,src/views/AdminView.vue:2756 | src/views/AdminView.vue:372
m_1fd3773b,确认销毁题目「{title}」？该操作会删除题目、挂载关系、提交记录与运行实例。,"Destroy challenge ""{title}""? This will remove challenge data, bindings, submissions, and instances.",确认销毁题目「{title}」？该操作会删除题目、挂载关系、提交记录与运行实例。,"Destroy challenge ""{title}""? This will remove challenge data, bindings, submissions, and instances.",false,1,src/views/AdminView.vue:4809
m_200865ae,管理控制台,Admin Console,管理控制台,Admin Console,false,1,src/views/AdminView.vue:5
m_202836b9,取消编辑,Cancel edit,取消编辑,Cancel edit,false,4,src/views/AdminView.vue:214 | src/views/AdminView.vue:254 | src/views/AdminView.vue:2598 | src/views/AdminView.vue:977
m_204656e7,SSH 命令已复制,SSH command copied,SSH 命令已复制,SSH command copied,false,1,src/views/ContestDetailView.vue:1378
m_206ddac1,销毁题目失败,Failed to delete challenge,销毁题目失败,Failed to delete challenge,false,2,src/views/AdminView.vue:2669 | src/views/AdminView.vue:4834
m_209b9919,创建公告编辑模式,Create announcement editor mode,创建公告编辑模式,Create announcement editor mode,false,1,src/views/AdminView.vue:1363
m_20c0bed0,题目操作,Actions,题目操作,Actions,false,1,src/views/ContestDetailView.vue:116
m_2144ffcd,人机验证脚本加载失败。,Failed to load human verification script.,人机验证脚本加载失败。,Failed to load human verification script.,false,1,src/views/LoginView.vue:733
m_214f537d,下载配置,Download config,下载配置,Download config,false,1,src/views/ContestDetailView.vue:266
m_21a78d58,发送失败,Failed to send,发送失败,Failed to send,false,2,src/views/LoginView.vue:852 | src/views/LoginView.vue:902
m_225d7147,题目挂载,Bindings,题目挂载,Bindings,false,1,src/views/AdminView.vue:110
m_229bcaee,附件已删除,Attachment deleted,附件已删除,Attachment deleted,false,1,src/views/AdminView.vue:2484
m_22d9593f,显示题目操作菜单,Show challenge actions,显示题目操作菜单,Show challenge actions,false,2,src/views/AdminView.vue:2665 | src/views/AdminView.vue:667
m_23328cc7,禁用,disabled,禁用,disabled,false,2,src/views/AdminView.vue:2001 | src/views/AdminView.vue:2562
m_2340bcd7,刷新告警,Refresh alerts,刷新告警,Refresh alerts,false,2,src/views/AdminView.vue:1773 | src/views/AdminView.vue:2631
m_2373da40,single_image 模式仅支持 dynamic 或 internal 题型,single_image mode only supports dynamic/internal challenge types.,single_image 模式仅支持 dynamic 或 internal 题型,single_image mode only supports dynamic/internal challenge types.,false,2,src/views/AdminView.vue:2754 | src/views/AdminView.vue:4719
m_23ada321,请填写类别 slug。,Please provide a category slug.,请填写类别 slug。,Please provide a category slug.,false,1,src/views/AdminView.vue:3799
m_23e734c9,轻量 · 稳定,Clean · Stable,轻量 · 稳定,Clean · Stable,false,1,src/views/HomeView.vue:24
m_246d6ccc,排序已更新,Sort updated,排序已更新,Sort updated,false,1,src/views/AdminView.vue:2585
m_24eff94d,尚未创建动态环境实例。,No runtime instance yet.,尚未创建动态环境实例。,No runtime instance yet.,false,1,src/views/ContestDetailView.vue:279
m_2501646a,赛事管理,Contest Hub,赛事管理,Contest Hub,false,1,src/views/HomeView.vue:12
m_25102041,类别已更新,Category updated,类别已更新,Category updated,false,1,src/views/AdminView.vue:3821
m_2543ca11,动态衰减,Dynamic decay,动态衰减,Dynamic decay,false,1,src/views/AdminView.vue:1110
m_25e98085,重置邮箱,Reset Email,重置邮箱,Reset Email,false,1,src/views/LoginView.vue:280
m_25f9c546,更新公告失败,Failed to update announcement,更新公告失败,Failed to update announcement,false,4,src/views/AdminView.vue:2493 | src/views/AdminView.vue:5431 | src/views/AdminView.vue:5466 | src/views/AdminView.vue:5494
m_26367f72,编辑公告内容模式,Edit announcement content mode,编辑公告内容模式,Edit announcement content mode,false,1,src/views/AdminView.vue:1503
m_264acbb0,确认新密码,Confirm New Password,确认新密码,Confirm New Password,false,1,src/views/LoginView.vue:314
m_28171ba8,用户状态已更新,User status updated,用户状态已更新,User status updated,false,1,src/views/AdminView.vue:2690
m_2872b7ba,来源信息,Source,来源信息,Source,false,1,src/views/ProfileView.vue:70
m_28a141b7,题目管理,Challenge Management,题目管理,Challenge Management,false,1,src/views/AdminView.vue:163
m_28db53ea,心跳,Heartbeat,心跳,Heartbeat,false,1,src/views/AdminView.vue:2178
m_2a565d62,监控子导航,Operations Tabs,监控子导航,Operations Tabs,false,1,src/views/AdminView.vue:131
m_2a755655,心跳超时实例回收已执行,Stale-heartbeat reaper executed,心跳超时实例回收已执行,Stale-heartbeat reaper executed,false,1,src/views/AdminView.vue:2672
m_2aa114ab,显示比赛操作菜单,Show contest actions,显示比赛操作菜单,Show contest actions,false,2,src/views/AdminView.vue:1173 | src/views/AdminView.vue:2660
m_2aa949f3,刷新榜单,Refresh scoreboard,刷新榜单,Refresh scoreboard,false,1,src/views/ContestDetailView.vue:129
m_2aacf3d7,已选中,selected,已选中,selected,false,2,src/views/AdminView.vue:2682 | src/views/AdminView.vue:663
m_2ab7cec0,实时看板,Live Board,实时看板,Live Board,false,1,src/views/HomeView.vue:14
m_2b0f8cb3,重启中服务,Restarting service,重启中服务,Restarting service,false,2,src/views/AdminView.vue:2207 | src/views/AdminView.vue:2723
m_2b9740b0,运行告警：实例失败,Runtime alert: instance failure,运行告警：实例失败,Runtime alert: instance failure,false,1,src/views/AdminView.vue:2698
m_2bb67eb7,刷新指标,Refresh metrics,刷新指标,Refresh metrics,false,2,src/views/AdminView.vue:2128 | src/views/AdminView.vue:2636
m_2bccf299,比赛列表,Contest Directory,比赛列表,Contest Directory,false,1,src/views/ContestsView.vue:18
m_2be5180e,请联系管理员处理报名审核。,Contact admins for registration review.,请联系管理员处理报名审核。,Contact admins for registration review.,false,1,src/views/ContestsView.vue:369
m_2bf2c365,暂无比赛描述。,No contest description.,暂无比赛描述。,No contest description.,false,1,src/views/ContestsView.vue:113
m_2c328ade,搜索,Search,搜索,Search,false,1,src/views/TeamsView.vue:26
m_2c68820f,SSH 密码已复制,SSH password copied,SSH 密码已复制,SSH password copied,false,1,src/views/ContestDetailView.vue:1383
m_2c871c1e,{username} 已被删除并退出登录。,{username} was deleted and signed out.,{username} 已被删除并退出登录。,{username} was deleted and signed out.,false,1,src/views/ProfileView.vue:251
m_2ca2fc68,关闭,Close,关闭,Close,false,3,src/views/ContestDetailView.vue:439 | src/views/ContestDetailView.vue:465 | src/views/LoginView.vue:275
m_2cd6c99d,运行概览,Overview,运行概览,Overview,false,1,src/views/AdminView.vue:138
m_2d845457,赛事列表,Contest list,赛事列表,Contest list,false,3,src/views/AdminView.vue:1074 | src/views/AdminView.vue:2604 | src/views/AdminView.vue:938
m_2e521f2e,请选择一个比赛查看详情。,Select a contest to view details.,请选择一个比赛查看详情。,Select a contest to view details.,false,1,src/views/ContestsView.vue:153
m_2eb410f2,加载题目附件失败,Failed to load challenge attachments,加载题目附件失败,Failed to load challenge attachments,false,2,src/views/AdminView.vue:2549 | src/views/AdminView.vue:4010
m_2f40ea9a,退出队伍失败,Failed to leave team,退出队伍失败,Failed to leave team,false,2,src/views/TeamsView.vue:742 | src/views/TeamsView.vue:744
m_2f683754,重置,Reset,重置,Reset,false,1,src/views/ContestDetailView.vue:190
m_2f6e2521,验证失败,Verification failed,验证失败,Verification failed,false,1,src/views/LoginView.vue:880
m_2fead4f5,很强,Very strong,很强,Very strong,false,1,src/views/LoginView.vue:573
m_301cc31c,镜像仓库地址,Image registry URL,镜像仓库地址,Image registry URL,false,2,src/views/AdminView.vue:2563 | src/views/AdminView.vue:404
m_30359f8f,暂无附件。,There are no attachments yet.,暂无附件。,There are no attachments yet.,false,3,src/views/AdminView.vue:2705 | src/views/AdminView.vue:610 | src/views/AdminView.vue:798
m_30407de4,加载题目类别失败,Failed to load challenge categories,加载题目类别失败,Failed to load challenge categories,false,2,src/views/AdminView.vue:3780 | src/views/AdminView.vue:3782
m_3050f465,确认删除,Confirm delete,确认删除,Confirm delete,false,1,src/views/ProfileView.vue:93
m_30c55f78,销毁比赛,Destroy contest,销毁比赛,Destroy contest,false,1,src/views/AdminView.vue:5202
m_30ca028e,加载模板校验结果失败,Failed to load template lint results,加载模板校验结果失败,Failed to load template lint results,false,2,src/views/AdminView.vue:2543 | src/views/AdminView.vue:4033
m_30f83df7,加载用户列表失败,Failed to load users,加载用户列表失败,Failed to load users,false,2,src/views/AdminView.vue:2552 | src/views/AdminView.vue:4248
m_31bd3334,上传海报,Upload poster,上传海报,Upload poster,false,2,src/views/AdminView.vue:1159 | src/views/AdminView.vue:2619
m_31ed1b1c,包含符号,Contains symbol,包含符号,Contains symbol,false,1,src/views/LoginView.vue:195
m_32601cdc,版本备注（可选）,Version notes (optional),版本备注（可选）,Version notes (optional),false,2,src/views/AdminView.vue:2424 | src/views/AdminView.vue:543
m_3274f71e,编辑选中,Edit selected,编辑选中,Edit selected,false,2,src/views/AdminView.vue:193 | src/views/AdminView.vue:955
m_3279a105,趋势维度,Trend metric,趋势维度,Trend metric,false,1,src/views/ContestDetailView.vue:318
m_32f9f723,审计日志,Audit log,审计日志,Audit log,false,2,src/views/AdminView.vue:2267 | src/views/AdminView.vue:2623
m_337bc844,请输入重置令牌。,Please enter reset token.,请输入重置令牌。,Please enter reset token.,false,1,src/views/LoginView.vue:913
m_340289e4,解题,Solved,解题,Solved,false,1,src/views/ContestDetailView.vue:351
m_3430041f,运行告警,Runtime Alerts,运行告警,Runtime Alerts,false,2,src/views/AdminView.vue:1770 | src/views/AdminView.vue:2694
m_3468f9f1,删除比赛海报失败,Failed to delete contest poster,删除比赛海报失败,Failed to delete contest poster,false,2,src/views/AdminView.vue:2607 | src/views/AdminView.vue:5193
m_34c5aaaf,浏览与运维,Browse & operate,浏览与运维,Browse & operate,false,1,src/views/AdminView.vue:959
m_3529c2b3,时间,time,时间,time,false,4,src/views/AdminView.vue:2299 | src/views/AdminView.vue:2624 | src/views/AdminView.vue:451 | src/views/AdminView.vue:497
m_3550af31,刷新附件,Refresh files,刷新附件,Refresh files,false,1,src/views/ContestDetailView.vue:79
m_35547bd6,解出,Solved,解出,Solved,false,1,src/views/ScoreboardWallView.vue:80
m_35637b95,请先保存题目，再上传附件。,"Save this challenge first, then upload attachments.",请先保存题目，再上传附件。,"Save this challenge first, then upload attachments.",false,1,src/views/AdminView.vue:617
m_3647c275,下线,offline,下线,offline,false,2,src/views/AdminView.vue:2659 | src/views/AdminView.vue:700
m_365ea0b9,深色,Dark,深色,Dark,false,1,src/App.vue:247
m_36acf58c,发布时间,Release at,发布时间,Release at,false,1,src/views/AdminView.vue:1289
m_36d1fc56,比赛 ID 已复制到剪贴板。,Contest ID copied to clipboard.,比赛 ID 已复制到剪贴板。,Contest ID copied to clipboard.,false,1,src/views/ContestsView.vue:305
m_36f806f7,题目,Challenge,题目,Challenge,false,4,src/views/AdminView.vue:1749 | src/views/AdminView.vue:2167 | src/views/AdminView.vue:2640 | src/views/AdminView.vue:889
m_37f02fbf,比赛与提交,Contests & Submissions,比赛与提交,Contests & Submissions,false,2,src/views/AdminView.vue:1730 | src/views/AdminView.vue:2439
